fecha,flujo,desde,hasta,sub_kpi,valor,fuente,plan,temporalidad
1/19/2024,H,control_polvo,evaporacion,agua_a_chancado,0,Disco Compartido,Real,Dia
1/19/2024,J,tsf,infiltracion,infiltracion_promedio_final,32,Disco Compartido,Real,Dia
1/19/2024,F,tsf,evaporacion,evaporacion_total,10581.32,Disco Compartido,Real,Dia
1/19/2024,F,tsf,evaporacion,resaturacion_total,3173.04,Disco Compartido,Real,Dia
1/19/2024,G,area_seca,evaporacion,evap_total_pilas,191651.64,Disco Compartido,Real,Dia
1/19/2024,G,area_seca,evaporacion,evap_piscina_reservorio,3182.67,Disco Compartido,Real,Dia
1/19/2024,I,agua_nueva,evaporacion,evap_piscina_reservorio_total,4070.96,Disco Compartido,Real,Dia
1/19/2024,G,area_seca,evaporacion,evap_total_piscinas,16759.67,Disco Compartido,Real,Dia
1/19/2024,E,area_seca,retencion,retencion_hl,0,Disco Compartido,Real,Dia
1/19/2024,E,area_seca,retencion,retencion_dl,3572.81,Disco Compartido,Real,Dia
1/19/2024,E,area_seca,retencion,retencion_ral,0,Disco Compartido,Real,Dia
1/19/2024,E,area_seca,retencion,perdidas_concentrado,24.64,Disco Compartido,Real,Dia
1/19/2024,j,ptas,control_polvo,potable_m3_mes,379.53,Disco Compartido,Real,Dia
1/19/2024,i,servicios,ptas,potable_m3_mes,379.53,Disco Compartido,Real,Dia
1/19/2024,d,agua_nueva,servicios,potable_m3_mes,379.53,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,potable_m3_mes,379.53,Disco Compartido,Real,Dia
1/19/2024,h,sx_ew,area_seca,pls_m3_mes,3481651.61,Disco Compartido,Real,Dia
1/19/2024,a,agua_nueva,area_seca,rechazo_total_corregido,198739.38,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,suministro_a_agua_nueva,16530.17,Disco Compartido,Real,Dia
1/19/2024,C,aguas_halladas,control_polvo,aguas_halladas_a_control_polvo,0.73,Disco Compartido,Real,Dia
1/19/2024,D,tsf,retencion,tsf_a_retencion,0.02,Disco Compartido,Real,Dia
1/19/2024,E,area_seca,retencion,area_seca_a_retencion,3.57,Disco Compartido,Real,Dia
1/19/2024,F,tsf,evaporacion,tsf_a_evaporacion,13.75,Disco Compartido,Real,Dia
1/19/2024,G,area_seca,evaporacion,area_seca_a_evaporacion,204.34,Disco Compartido,Real,Dia
1/19/2024,c,agua_nueva,control_polvo,agua_nueva_a_control_polvo,40.97,Disco Compartido,Real,Dia
1/19/2024,d,agua_nueva,servicios,agua_nueva_a_servicio,23.68,Disco Compartido,Real,Dia
1/19/2024,a,agua_nueva,area_seca,agua_nueva_a_area_seca,325.82,Disco Compartido,Real,Dia
1/19/2024,I,agua_nueva,evaporacion,agua_nueva_a_evaporacion,4.07,Disco Compartido,Real,Dia
1/19/2024,b,agua_nueva,sx_ew,agua_nueva_a_sx_ew,93.64,Disco Compartido,Real,Dia
1/19/2024,B,agua_mineral,area_seca,agua_mineral_a_area_seca,0.32,Disco Compartido,Real,Dia
1/19/2024,g,area_seca,sx_ew,area_seca_a_sx_ew,3481.65,Disco Compartido,Real,Dia
1/19/2024,f,area_seca,tsf,area_seca_a_tsf,89.15,Disco Compartido,Real,Dia
1/19/2024,j,ptas,control_polvo,ptas_a_control_polvo,23.68,Disco Compartido,Real,Dia
1/19/2024,i,servicios,ptas,servicios_a_ptas,23.68,Disco Compartido,Real,Dia
1/19/2024,h,sx_ew,area_seca,sx_ew_a_area_seca,3575.29,Disco Compartido,Real,Dia
1/19/2024,e,tsf,area_seca,tsf_a_area_seca,1.67,Disco Compartido,Real,Dia
1/19/2024,J,tsf,infiltracion,tsf_a_infiltracion,32,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,control_polvo_a_evaporacion,65.39,Disco Compartido,Real,Dia
8/20/2024,f,area_seca,tsf,agua_a_atranque,82309.66,Disco Compartido,Real,Dia
8/20/2024,j,ptas,control_polvo,agua_incendio,18301,Disco Compartido,Real,Dia
8/20/2024,i,servicios,ptas,agua_incendio,18301,Disco Compartido,Real,Dia
8/20/2024,d,agua_nueva,servicios,agua_incendio,18301,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,agua_incendio,18301,Disco Compartido,Real,Dia
8/20/2024,e,tsf,area_seca,agua_recuperada_tranque_relaves,13073.49,Disco Compartido,Real,Dia
8/20/2024,B,agua_mineral,area_seca,apilado_dl,108.49,Disco Compartido,Real,Dia
8/20/2024,c,agua_nueva,control_polvo,cachimba_mina,3981,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,cachimba_mina,3981,Disco Compartido,Real,Dia
